Jorge Alessandri,Eduardo Frei Montalva,Salvador Allende,Augusto Pinochet,Patricio Aylwin,Eduardo Frei Ruiz-Tagle,Ricardo Lagos,Michelle Bachelet (2006-2010),Sebastián Piñera (2010-2014),Michelle Bachelet (2014-2018),Sebastián Piñera (2018-2022),Gabriel Boric,ID
3,2,3,7,1,4,2,5,3,3,7,4,527
5,2,2,6,3,3,7,3,4,2,1,4,528
5,4,2,1,5,4,3,2,4,4,3,5,529
2,4,2,1,1,3,6,7,2,3,4,5,530
3,1,6,7,5,2,4,4,4,4,4,4,531
5,4,2,2,2,4,4,7,6,6,6,6,532
3,2,1,3,3,2,5,3,6,7,6,3,533
3,3,3,5,5,2,4,4,4,6,5,7,534
2,2,6,6,1,4,5,7,3,4,6,4,535
4,4,2,7,2,3,5,1,1,2,3,4,536
5,4,6,7,4,5,3,5,5,2,7,3,537
3,5,4,7,5,3,3,3,5,1,4,1,538
2,1,2,6,4,4,4,3,6,4,3,6,539
2,4,1,6,3,1,1,7,3,4,5,7,540
3,5,2,6,1,4,3,3,3,4,6,5,541
3,4,2,7,4,4,3,3,1,7,4,4,542
3,3,2,3,2,3,3,5,2,2,3,2,543
2,4,4,2,2,3,7,1,3,2,3,4,544
2,2,1,2,2,3,3,4,4,6,2,5,545
4,2,2,2,3,3,5,4,2,7,3,4,546
5,3,2,1,3,2,2,4,4,3,3,4,547
4,2,1,1,4,3,4,6,6,4,2,6,548
2,4,1,7,3,4,5,5,3,4,5,4,549
4,1,1,3,3,3,7,3,2,5,3,4,550
3,3,4,7,2,3,2,2,7,6,4,3,551
3,3,2,7,4,5,3,4,7,4,2,3,552
1,3,5,3,6,2,6,7,3,6,3,5,553
2,5,6,7,4,3,2,6,2,7,3,2,554
3,2,4,7,2,3,3,6,5,6,4,4,555
2,3,3,6,3,6,4,3,4,5,4,5,556
5,4,3,2,3,3,1,2,3,3,4,3,557
3,4,2,7,5,5,3,4,5,3,7,3,558
4,2,2,2,2,3,7,4,3,3,3,6,559
4,4,2,2,3,4,3,4,4,3,1,5,560
3,4,2,2,3,7,3,3,4,3,4,6,561
3,2,2,1,4,3,3,3,3,5,3,1,562
4,4,2,7,1,4,5,3,1,3,3,5,563
4,4,3,1,3,4,2,4,4,3,4,4,564
4,3,5,7,6,6,1,3,5,6,3,4,565
4,4,5,6,1,3,5,3,2,7,4,4,566
2,3,2,1,3,2,4,5,5,3,3,3,567
1,4,2,7,4,4,3,3,3,4,5,6,568
3,3,2,3,3,3,2,3,3,5,4,7,569
3,2,2,7,2,3,3,7,2,1,6,4,570
2,3,3,2,3,2,6,2,3,1,6,6,571
6,3,4,2,5,6,7,3,2,6,4,1,572
2,2,5,4,4,4,3,6,3,4,2,7,573
2,4,6,4,3,2,3,7,2,3,4,3,574
4,2,2,1,4,3,4,3,3,4,4,5,575
3,2,2,1,6,3,3,7,3,4,4,4,576
5,2,2,4,1,1,5,2,2,5,3,7,577
4,6,4,1,2,3,3,3,2,2,5,4,578
3,3,6,7,5,7,4,7,2,3,4,4,579
5,3,5,1,1,1,3,4,6,1,4,4,580
4,3,1,4,3,5,3,3,2,7,4,6,581
5,3,3,1,5,3,4,3,7,3,5,3,582
3,3,3,7,4,2,3,2,2,1,6,5,583
3,4,2,6,5,3,2,5,6,7,4,6,584
5,2,1,1,3,4,2,3,1,4,4,3,585
4,4,1,1,7,1,3,2,6,7,7,2,586
3,1,2,6,2,3,3,3,4,4,3,2,587
3,4,7,5,5,4,2,4,2,5,7,3,588
3,4,6,1,2,2,2,4,2,6,2,4,589
4,4,6,4,4,3,4,6,4,4,5,4,590
5,4,2,6,3,7,5,1,1,2,7,2,591
2,6,1,5,5,3,4,7,2,7,4,7,592
2,3,6,7,1,2,5,3,1,3,3,4,593
4,4,4,1,3,2,1,3,3,6,7,4,594
3,2,1,6,3,4,3,4,3,5,6,7,595
4,2,1,2,2,7,6,3,2,6,6,4,596
4,2,3,2,2,2,2,2,3,7,7,6,597
4,2,6,2,6,4,3,4,5,4,2,4,598
3,4,6,1,2,3,6,3,7,5,4,7,599
2,3,2,5,3,4,4,4,3,3,6,3,600
