Eduardo Frei Montalva,Salvador Allende,Augusto Pinochet,Patricio Aylwin,Eduardo Frei Ruiz-Tagle,Ricardo Lagos,Michelle Bachelet (2006-2010),Sebastián Piñera (2010-2014),Michelle Bachelet (2014-2018),Sebastián Piñera (2018-2022),Gabriel Boric,ID
7,7,7,7,6,7,7,7,7,7,6,572
7,7,7,7,6,7,7,7,7,7,6,573
7,7,7,7,6,7,7,7,7,7,6,574
7,7,7,7,6,7,7,7,7,7,6,575
7,7,7,7,6,7,7,7,7,7,6,576
7,7,7,7,6,7,7,7,7,7,7,577
7,7,7,7,6,7,7,7,7,7,7,578
7,7,7,7,6,7,7,7,7,7,7,579
7,7,7,7,6,7,7,7,7,7,7,580
7,7,7,7,6,7,7,7,7,7,7,581
7,7,7,7,6,7,7,7,7,7,7,582
7,7,7,7,6,7,7,7,7,7,7,583
7,7,7,7,6,7,7,7,7,7,7,584
7,7,7,7,6,7,7,7,7,7,7,585
7,7,7,7,6,7,7,7,7,7,7,586
7,7,7,7,7,7,7,7,7,7,7,587
7,7,7,7,7,7,7,7,7,7,7,588
7,7,7,7,7,7,7,7,7,7,7,589
7,7,7,7,7,7,7,7,7,7,7,590
7,7,7,7,7,7,7,7,7,7,7,591
7,7,7,7,7,7,7,7,7,7,7,592
7,7,7,7,7,7,7,7,7,7,7,593
7,7,7,7,7,7,7,7,7,7,7,594
7,7,7,7,7,7,7,7,7,7,7,595
7,7,7,7,7,7,7,7,7,7,7,596
7,7,7,7,7,5,7,4,7,7,7,597
7,7,7,5,5,5,6,6,7,7,7,598
7,7,7,5,4,3,6,3,7,7,7,599
7,7,7,4,4,3,4,2,7,7,7,600
